Date : 2025-01-02 10:50:13
Directory : e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS
Total : 2471 files,  383036 codes, 136354 comments, 76833 blanks, all 596223 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolutionLayers\layers\config\Debug.clayer.yml                                                                          | YAML               |          7 |          1 |          2 |         10 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolutionLayers\layers\config\Release.clayer.yml                                                                        | YAML               |          6 |          1 |          2 |          9 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolutionLayers\layers\target\CM33.clayer.yml                                                                           | YAML               |          2 |          1 |          2 |          5 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolutionLayers\layers\target\CM35P.clayer.yml                                                                          | YAML               |          2 |          1 |          2 |          5 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\NonSecureCode\NonSecure.cproject.yml                                                                          | YAML               |         16 |          1 |          2 |         19 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\NonSecureCode\main_ns.c                                                                                       | C                  |         51 |          0 |         24 |         75 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\SecureCode\Secure.cproject.yml                                                                                | YAML               |         15 |          1 |          2 |         18 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\SecureCode\interface.c                                                                                        | C                  |         13 |          4 |          8 |         25 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\SecureCode\interface.h                                                                                        | C++                |          3 |          2 |          2 |          7 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\SecureCode\main_s.c                                                                                           | C                  |         16 |          1 |          8 |         25 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\SecureCode\tz_context.c                                                                                       | C                  |         27 |          0 |          8 |         35 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\TrustZoneSolution\TrustZone.csolution.yml                                                                                       | YAML               |         23 |          1 |          4 |         28 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\conflict.cproject.yml                                                                                                | YAML               |          4 |          1 |          3 |          8 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\dependencies.csolution.yml                                                                                           | YAML               |         14 |          1 |          6 |         21 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\incompatible-variant.cproject.yml                                                                                    | YAML               |          4 |          1 |          3 |          8 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\incompatible.cproject.yml                                                                                            | YAML               |          4 |          1 |          3 |          8 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\missing-condition.cproject.yml                                                                                       | YAML               |          3 |          1 |          3 |          7 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\missing-condition.csolution.yml                                                                                      | YAML               |         11 |          1 |          6 |         18 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\missing.cproject.yml                                                                                                 | YAML               |          3 |          1 |          3 |          7 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\recursive.cproject.yml                                                                                               | YAML               |          3 |          1 |          3 |          7 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\recursive.csolution.yml                                                                                              | YAML               |         11 |          1 |          6 |         18 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\data\Validation\selectable.cproject.yml                                                                                              | YAML               |          3 |          1 |          3 |          7 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrGeneratorUnitTests.cpp                                                                                                    | C++                |        191 |         11 |         47 |        249 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrSchemaCheckerUnitTests.cpp                                                                                                | C++                |        392 |         40 |         60 |        492 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrTestEnv.cpp                                                                                                               | C++                |        235 |         15 |         39 |        289 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrTestEnv.h                                                                                                                 | C++                |         47 |         11 |         12 |         70 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrUnitTests.cpp                                                                                                             | C++                |      5,344 |        332 |        852 |      6,528 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrUtilsUnitTests.cpp                                                                                                        | C++                |        408 |         37 |         68 |        513 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrWorkerUnitTests.cpp                                                                                                       | C++                |      1,601 |         73 |        173 |      1,847 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\projmgr\test\src\ProjMgrYamlParserUnitTest.cpp                                                                                                    | C++                |         30 |          5 |         10 |         45 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\CMakeLists.txt                                                                                                                            | CMake              |         13 |          0 |          6 |         19 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\CMakeLists.txt                                                                                                                    | CMake              |         53 |          0 |         18 |         71 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\README.md                                                                                                                         | Markdown           |        336 |          0 |         44 |        380 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\include\ParseOptions.h                                                                                                            | C++                |         49 |          5 |         14 |         68 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\include\Resource.h                                                                                                                | C++                |          8 |         10 |          3 |         21 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\include\SVDConv.h                                                                                                                 | C++                |         29 |          5 |         13 |         47 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\include\SvdOptions.h                                                                                                              | C++                |         98 |          5 |         17 |        120 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\src\ParseOptions.cpp                                                                                                              | C++                |        411 |         73 |         77 |        561 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\src\SVDConv.cpp                                                                                                                   | C++                |        275 |         44 |         62 |        381 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\src\SVDConvMain.cpp                                                                                                               | C++                |          6 |         12 |          3 |         21 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\src\SVDConv_Msgs.cpp                                                                                                              | C++                |        230 |         11 |         19 |        260 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDConv\src\SvdOptions.cpp                                                                                                                | C++                |        228 |         80 |         55 |        363 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\CMakeLists.txt                                                                                                               | CMake              |         19 |          0 |          8 |         27 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\CodeGenerator.h                                                                                                      | C++                |         22 |         12 |         11 |         45 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\FileIo.h                                                                                                             | C++                |         57 |          6 |         12 |         75 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\HeaderData.h                                                                                                         | C++                |        182 |         12 |         37 |        231 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\HeaderGenAPI.h                                                                                                       | C++                |         79 |          9 |         13 |        101 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\HeaderGenerator.h                                                                                                    | C++                |        294 |          7 |         28 |        329 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\MemoryMap.h                                                                                                          | C++                |         48 |          5 |         14 |         67 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\PartitionData.h                                                                                                      | C++                |         73 |          6 |         18 |         97 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\SfdData.h                                                                                                            | C++                |         67 |          5 |         14 |         86 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\SfdGenAPI.h                                                                                                          | C++                |         81 |          8 |          9 |         98 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\SfdGenerator.h                                                                                                       | C++                |        202 |         31 |         39 |        272 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\SfrccInterface.h                                                                                                     | C++                |         18 |          5 |          9 |         32 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\include\SvdGenerator.h                                                                                                       | C++                |         62 |          5 |         20 |         87 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\CodeGenerator.cpp                                                                                                        | C++                |         10 |          5 |          7 |         22 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\FileIo.cpp                                                                                                               | C++                |        210 |          5 |         47 |        262 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData.cpp                                                                                                           | C++                |        237 |          7 |         54 |        298 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_Cluster.cpp                                                                                                   | C++                |        101 |          7 |         31 |        139 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_EnumValues.cpp                                                                                                | C++                |        311 |          8 |         84 |        403 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_Field.cpp                                                                                                     | C++                |        115 |          5 |         38 |        158 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_Peripheral.cpp                                                                                                | C++                |        247 |          7 |         65 |        319 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_PosMask.cpp                                                                                                   | C++                |        160 |         13 |         43 |        216 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_RegStructure.cpp                                                                                              | C++                |        569 |         67 |        127 |        763 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderData_Register.cpp                                                                                                  | C++                |        192 |          6 |         48 |        246 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\HeaderGenerator.cpp                                                                                                      | C++                |        712 |         23 |        145 |        880 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\MemoryMap.cpp                                                                                                            | C++                |        520 |         26 |        121 |        667 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\PartitionData.cpp                                                                                                        | C++                |        734 |         16 |        199 |        949 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\SfdData.cpp                                                                                                              | C++                |         52 |          5 |         15 |         72 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\SfdData_SingleItems.cpp                                                                                                  | C++                |        869 |          8 |        200 |      1,077 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\SfdGenerator.cpp                                                                                                         | C++                |        403 |         23 |         69 |        495 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\SfrccInterface.cpp                                                                                                       | C++                |         91 |          5 |         24 |        120 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDGenerator\src\SvdGenerator.cpp                                                                                                         | C++                |        217 |          5 |         61 |        283 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\CMakeLists.txt                                                                                                                   | CMake              |         18 |          0 |          8 |         26 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\EnumStringTables.h                                                                                                       | C++                |         47 |         10 |          9 |         66 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdAddressBlock.h                                                                                                        | C++                |         32 |          5 |         13 |         50 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdCExpression.h                                                                                                         | C++                |         44 |          5 |         13 |         62 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdCExpressionParser.h                                                                                                   | C++                |        116 |          9 |         24 |        149 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdCluster.h                                                                                                             | C++                |         60 |          5 |         12 |         77 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdCpu.h                                                                                                                 | C++                |         90 |          5 |         20 |        115 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdDerivedFrom.h                                                                                                         | C++                |         28 |          5 |          9 |         42 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdDevice.h                                                                                                              | C++                |         99 |          5 |         19 |        123 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdDimension.h                                                                                                           | C++                |         89 |          5 |         27 |        121 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdEnum.h                                                                                                                | C++                |         53 |          5 |         19 |         77 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdField.h                                                                                                               | C++                |         61 |          6 |         23 |         90 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdInterrupt.h                                                                                                           | C++                |         22 |          5 |         10 |         37 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdItem.h                                                                                                                | C++                |        262 |         10 |         64 |        336 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdModel.h                                                                                                               | C++                |         36 |          5 |         13 |         54 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdPeripheral.h                                                                                                          | C++                |        124 |          5 |         20 |        149 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdRegister.h                                                                                                            | C++                |         91 |          5 |         21 |        117 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdSauRegion.h                                                                                                           | C++                |         43 |          5 |         16 |         64 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdTypes.h                                                                                                               | C++                |        144 |          5 |         19 |        168 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdUtils.h                                                                                                               | C++                |         82 |          8 |         29 |        119 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\include\SvdWriteConstraint.h                                                                                                     | C++                |         15 |          5 |          8 |         28 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdAddressBlock.cpp                                                                                                          | C++                |        111 |          7 |         27 |        145 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdCExpression.cpp                                                                                                           | C++                |        170 |          8 |         38 |        216 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdCExpressionParser.cpp                                                                                                     | C++                |        224 |          5 |         25 |        254 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdCluster.cpp                                                                                                               | C++                |        505 |         18 |         89 |        612 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdCpu.cpp                                                                                                                   | C++                |        340 |          6 |         37 |        383 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdDerivedFrom.cpp                                                                                                           | C++                |        104 |          9 |         26 |        139 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdDevice.cpp                                                                                                                | C++                |        820 |         19 |        158 |        997 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdDimension.cpp                                                                                                             | C++                |        514 |         14 |        102 |        630 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdEnum.cpp                                                                                                                  | C++                |        237 |          7 |         49 |        293 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdField.cpp                                                                                                                 | C++                |        523 |         11 |         99 |        633 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdInterrupt.cpp                                                                                                             | C++                |        131 |          6 |         29 |        166 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdItem.cpp                                                                                                                  | C++                |      1,097 |         19 |        199 |      1,315 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdModel.cpp                                                                                                                 | C++                |         73 |          5 |         20 |         98 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdPeripheral.cpp                                                                                                            | C++                |      1,300 |         30 |        248 |      1,578 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdRegister.cpp                                                                                                              | C++                |        619 |         14 |        119 |        752 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdSauRegion.cpp                                                                                                             | C++                |        126 |          5 |         26 |        157 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdTypes.cpp                                                                                                                 | C++                |        216 |         15 |         41 |        272 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdUtils.cpp                                                                                                                 | C++                |      1,445 |         35 |        283 |      1,763 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\SVDModel\src\SvdWriteConstraint.cpp                                                                                                       | C++                |         37 |          5 |         11 |         53 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\CONTENT.md                                                                                                                           | Markdown           |         20 |          0 |          9 |         29 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\UnitTests\CMakeLists.txt                                                                                                             | CMake              |         14 |          0 |          7 |         21 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\UnitTests\src\GeneratorTest.cpp                                                                                                      | C++                |         14 |          5 |         11 |         30 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\UnitTests\src\SvdUtilsTest.cpp                                                                                                       | C++                |         54 |         10 |         23 |         87 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\data\CMakeLists.txt                                                                                                                  | CMake              |          0 |          0 |          3 |          3 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\integtests\CMakeLists.txt                                                                                                            | CMake              |         18 |          0 |          9 |         27 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\integtests\include\SvdConvIntegTestEnv.h                                                                                             | C++                |         12 |          8 |          6 |         26 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\integtests\include\SvdConvTestUtils.h                                                                                                | C++                |         61 |          5 |         17 |         83 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\integtests\src\SvdConvIntegTestEnv.cpp                                                                                               | C++                |         35 |          5 |         11 |         51 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\integtests\src\SvdConvIntegTests.cpp                                                                                                 | C++                |        116 |          9 |         35 |        160 |
| e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS\dsp\devtools-main\devtools-main\tools\svdconv\Test\integtests\src\SvdConvTestCmdLine.cpp                                                                                                | C++                |        218 |          5 |         64 |        287 |
