Date : 2025-01-02 10:50:13
Directory : e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS
Total : 2471 files,  383036 codes, 136354 comments, 76833 blanks, all 596223 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| dsp\Source\SupportFunctions                                                                                                                                                                                                      |         55 |      4,066 |      3,481 |      1,565 |      9,112 |
| dsp\Source\TransformFunctions                                                                                                                                                                                                    |         60 |     10,894 |      9,037 |      4,086 |     24,017 |
| dsp\Source\WindowFunctions                                                                                                                                                                                                       |         42 |        841 |      2,588 |        659 |      4,088 |
| dsp\devtools-main                                                                                                                                                                                                                |      1,576 |    120,749 |     28,012 |     25,120 |    173,881 |
| dsp\devtools-main\devtools-main                                                                                                                                                                                                  |      1,576 |    120,749 |     28,012 |     25,120 |    173,881 |
| dsp\devtools-main\devtools-main (Files)                                                                                                                                                                                          |          7 |        742 |          2 |        232 |        976 |
| dsp\devtools-main\devtools-main\.devcontainer                                                                                                                                                                                    |          6 |         84 |          0 |         24 |        108 |
| dsp\devtools-main\devtools-main\.devcontainer\debian-10                                                                                                                                                                          |          2 |         28 |          0 |          8 |         36 |
| dsp\devtools-main\devtools-main\.devcontainer\ubuntu-20.04                                                                                                                                                                       |          2 |         28 |          0 |          8 |         36 |
| dsp\devtools-main\devtools-main\.devcontainer\ubuntu-22.04                                                                                                                                                                       |          2 |         28 |          0 |          8 |         36 |
| dsp\devtools-main\devtools-main\.github                                                                                                                                                                                          |         31 |      2,822 |         65 |        372 |      3,259 |
| dsp\devtools-main\devtools-main\.github (Files)                                                                                                                                                                                  |         14 |        427 |          0 |         15 |        442 |
| dsp\devtools-main\devtools-main\.github\ISSUE_TEMPLATE                                                                                                                                                                           |          2 |         34 |          0 |         14 |         48 |
| dsp\devtools-main\devtools-main\.github\workflows                                                                                                                                                                                |         15 |      2,361 |         65 |        343 |      2,769 |
| dsp\devtools-main\devtools-main\cmake                                                                                                                                                                                            |          7 |        418 |          0 |         56 |        474 |
| dsp\devtools-main\devtools-main\docs                                                                                                                                                                                             |          2 |        392 |          0 |        166 |        558 |
| dsp\devtools-main\devtools-main\external                                                                                                                                                                                         |          6 |        550 |         19 |         63 |        632 |
| dsp\devtools-main\devtools-main\libs                                                                                                                                                                                             |        189 |     31,476 |     12,502 |      7,592 |     51,570 |
| dsp\devtools-main\devtools-main\libs (Files)                                                                                                                                                                                     |          1 |         43 |          0 |         20 |         63 |
| dsp\devtools-main\devtools-main\libs\crossplatform                                                                                                                                                                               |         23 |        706 |        152 |        202 |      1,060 |
| dsp\devtools-main\devtools-main\libs\crossplatform (Files)                                                                                                                                                                       |          1 |         33 |          0 |         12 |         45 |
| dsp\devtools-main\devtools-main\libs\crossplatform\docs                                                                                                                                                                          |          1 |          6 |          0 |          2 |          8 |
| dsp\devtools-main\devtools-main\libs\crossplatform\include                                                                                                                                                                       |          9 |         93 |         77 |         51 |        221 |
| dsp\devtools-main\devtools-main\libs\crossplatform\include (Files)                                                                                                                                                               |          2 |         65 |         77 |         30 |        172 |
| dsp\devtools-main\devtools-main\libs\crossplatform\include\win                                                                                                                                                                   |          7 |         28 |          0 |         21 |         49 |
| dsp\devtools-main\devtools-main\libs\crossplatform\src                                                                                                                                                                           |          9 |        402 |         67 |         91 |        560 |
| dsp\devtools-main\devtools-main\libs\crossplatform\src (Files)                                                                                                                                                                   |          1 |         71 |          7 |         14 |         92 |
| dsp\devtools-main\devtools-main\libs\crossplatform\src\Darwin                                                                                                                                                                    |          2 |         87 |         14 |         22 |        123 |
| dsp\devtools-main\devtools-main\libs\crossplatform\src\Emscripten                                                                                                                                                                |          2 |          8 |         11 |          6 |         25 |
| dsp\devtools-main\devtools-main\libs\crossplatform\src\Linux                                                                                                                                                                     |          2 |         91 |         15 |         25 |        131 |
| dsp\devtools-main\devtools-main\libs\crossplatform\src\Windows                                                                                                                                                                   |          2 |        145 |         20 |         24 |        189 |
| dsp\devtools-main\devtools-main\libs\crossplatform\test                                                                                                                                                                          |          3 |        172 |          8 |         46 |        226 |
| dsp\devtools-main\devtools-main\libs\crossplatform\test (Files)                                                                                                                                                                  |          1 |         42 |          0 |         15 |         57 |
| dsp\devtools-main\devtools-main\libs\crossplatform\test\src                                                                                                                                                                      |          2 |        130 |          8 |         31 |        169 |
| dsp\devtools-main\devtools-main\libs\errlog                                                                                                                                                                                      |          8 |        914 |        280 |        272 |      1,466 |
| dsp\devtools-main\devtools-main\libs\errlog (Files)                                                                                                                                                                              |          1 |         11 |          0 |          8 |         19 |
| dsp\devtools-main\devtools-main\libs\errlog\include                                                                                                                                                                              |          3 |        284 |        231 |        109 |        624 |
| dsp\devtools-main\devtools-main\libs\errlog\src                                                                                                                                                                                  |          2 |        523 |         42 |        129 |        694 |
| dsp\devtools-main\devtools-main\libs\errlog\test                                                                                                                                                                                 |          2 |         96 |          7 |         26 |        129 |
| dsp\devtools-main\devtools-main\libs\errlog\test (Files)                                                                                                                                                                         |          1 |         10 |          0 |          6 |         16 |
| dsp\devtools-main\devtools-main\libs\errlog\test\src                                                                                                                                                                             |          1 |         86 |          7 |         20 |        113 |
| dsp\devtools-main\devtools-main\libs\rtefsutils                                                                                                                                                                                  |          6 |      1,640 |        548 |        406 |      2,594 |
| dsp\devtools-main\devtools-main\libs\rtefsutils (Files)                                                                                                                                                                          |          2 |         26 |          0 |         14 |         40 |
| dsp\devtools-main\devtools-main\libs\rtefsutils\include                                                                                                                                                                          |          1 |         70 |        315 |         21 |        406 |
| dsp\devtools-main\devtools-main\libs\rtefsutils\src                                                                                                                                                                              |          1 |        673 |         99 |        123 |        895 |
| dsp\devtools-main\devtools-main\libs\rtefsutils\test                                                                                                                                                                             |          2 |        871 |        134 |        248 |      1,253 |
| dsp\devtools-main\devtools-main\libs\rtefsutils\test (Files)                                                                                                                                                                     |          1 |         10 |          0 |          6 |         16 |
| dsp\devtools-main\devtools-main\libs\rtefsutils\test\src                                                                                                                                                                         |          1 |        861 |        134 |        242 |      1,237 |
| dsp\devtools-main\devtools-main\libs\rtemodel                                                                                                                                                                                    |         54 |     20,325 |      8,731 |      4,845 |     33,901 |
| dsp\devtools-main\devtools-main\libs\rtemodel (Files)                                                                                                                                                                            |          1 |         17 |          0 |          8 |         25 |
| dsp\devtools-main\devtools-main\libs\rtemodel\docs                                                                                                                                                                               |          1 |        331 |          0 |        205 |        536 |
| dsp\devtools-main\devtools-main\libs\rtemodel\include                                                                                                                                                                            |         21 |      2,961 |      7,901 |      1,864 |     12,726 |
| dsp\devtools-main\devtools-main\libs\rtemodel\src                                                                                                                                                                                |         20 |     14,761 |        643 |      2,292 |     17,696 |
| dsp\devtools-main\devtools-main\libs\rtemodel\test                                                                                                                                                                               |         11 |      2,255 |        187 |        476 |      2,918 |
| dsp\devtools-main\devtools-main\libs\rtemodel\test (Files)                                                                                                                                                                       |          1 |         18 |          0 |          7 |         25 |
| dsp\devtools-main\devtools-main\libs\rtemodel\test\src                                                                                                                                                                           |         10 |      2,237 |        187 |        469 |      2,893 |
| dsp\devtools-main\devtools-main\libs\rteutils                                                                                                                                                                                    |         22 |      2,578 |        917 |        525 |      4,020 |
| dsp\devtools-main\devtools-main\libs\rteutils (Files)                                                                                                                                                                            |          1 |         11 |          0 |          8 |         19 |
| dsp\devtools-main\devtools-main\libs\rteutils\include                                                                                                                                                                            |          9 |        508 |        768 |        175 |      1,451 |
| dsp\devtools-main\devtools-main\libs\rteutils\src                                                                                                                                                                                |          9 |      1,482 |        125 |        199 |      1,806 |
| dsp\devtools-main\devtools-main\libs\rteutils\test                                                                                                                                                                               |          3 |        577 |         24 |        143 |        744 |
| dsp\devtools-main\devtools-main\libs\rteutils\test (Files)                                                                                                                                                                       |          1 |         10 |          0 |          6 |         16 |
| dsp\devtools-main\devtools-main\libs\rteutils\test\src                                                                                                                                                                           |          2 |        567 |         24 |        137 |        728 |
| dsp\devtools-main\devtools-main\libs\xmlreader                                                                                                                                                                                   |          7 |      1,191 |        255 |        296 |      1,742 |
| dsp\devtools-main\devtools-main\libs\xmlreader (Files)                                                                                                                                                                           |          1 |         11 |          0 |          8 |         19 |
| dsp\devtools-main\devtools-main\libs\xmlreader\include                                                                                                                                                                           |          2 |        218 |        234 |         78 |        530 |
| dsp\devtools-main\devtools-main\libs\xmlreader\src                                                                                                                                                                               |          2 |        850 |         13 |        182 |      1,045 |
| dsp\devtools-main\devtools-main\libs\xmlreader\test                                                                                                                                                                              |          2 |        112 |          8 |         28 |        148 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker                                                                                                                                                                            |          9 |        186 |         54 |         72 |        312 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker (Files)                                                                                                                                                                    |          1 |         15 |          0 |          8 |         23 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker\include                                                                                                                                                                    |          1 |          8 |         11 |          6 |         25 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker\src                                                                                                                                                                        |          5 |        130 |         34 |         43 |        207 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker\test                                                                                                                                                                       |          2 |         33 |          9 |         15 |         57 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker\test (Files)                                                                                                                                                               |          1 |         12 |          0 |          5 |         17 |
| dsp\devtools-main\devtools-main\libs\xmlschemachecker\test\src                                                                                                                                                                   |          1 |         21 |          9 |         10 |         40 |
| dsp\devtools-main\devtools-main\libs\xmltree                                                                                                                                                                                     |         17 |      1,765 |      1,198 |        490 |      3,453 |
| dsp\devtools-main\devtools-main\libs\xmltree (Files)                                                                                                                                                                             |          1 |         12 |          0 |          8 |         20 |
| dsp\devtools-main\devtools-main\libs\xmltree\include                                                                                                                                                                             |          8 |        676 |      1,133 |        274 |      2,083 |
| dsp\devtools-main\devtools-main\libs\xmltree\src                                                                                                                                                                                 |          5 |        887 |         53 |        175 |      1,115 |
| dsp\devtools-main\devtools-main\libs\xmltree\test                                                                                                                                                                                |          3 |        190 |         12 |         33 |        235 |
| dsp\devtools-main\devtools-main\libs\xmltree\test (Files)                                                                                                                                                                        |          1 |         10 |          0 |          5 |         15 |
| dsp\devtools-main\devtools-main\libs\xmltree\test\src                                                                                                                                                                            |          2 |        180 |         12 |         28 |        220 |
| dsp\devtools-main\devtools-main\libs\xmltreeslim                                                                                                                                                                                 |          9 |        400 |        122 |        134 |        656 |
| dsp\devtools-main\devtools-main\libs\xmltreeslim (Files)                                                                                                                                                                         |          1 |         11 |          0 |          8 |         19 |
| dsp\devtools-main\devtools-main\libs\xmltreeslim\include                                                                                                                                                                         |          2 |         24 |         52 |         14 |         90 |
| dsp\devtools-main\devtools-main\libs\xmltreeslim\src                                                                                                                                                                             |          4 |        229 |         61 |         72 |        362 |
| dsp\devtools-main\devtools-main\libs\xmltreeslim\test                                                                                                                                                                            |          2 |        136 |          9 |         40 |        185 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker                                                                                                                                                                            |         23 |      1,105 |        112 |        156 |      1,373 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker (Files)                                                                                                                                                                    |          1 |         13 |          0 |          9 |         22 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\include                                                                                                                                                                    |          1 |          8 |         11 |          6 |         25 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\src                                                                                                                                                                        |          5 |        246 |         70 |         69 |        385 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\test                                                                                                                                                                       |         16 |        838 |         31 |         72 |        941 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\test (Files)                                                                                                                                                               |          1 |         14 |          0 |          6 |         20 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\test\data                                                                                                                                                                  |         12 |        624 |          2 |         20 |        646 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\test\data (Files)                                                                                                                                                          |          5 |        408 |          0 |          6 |        414 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\test\data\sample-data                                                                                                                                                      |          7 |        216 |          2 |         14 |        232 |
| dsp\devtools-main\devtools-main\libs\ymlschemachecker\test\src                                                                                                                                                                   |          3 |        200 |         29 |         46 |        275 |
| dsp\devtools-main\devtools-main\libs\ymltree                                                                                                                                                                                     |         10 |        623 |        133 |        174 |        930 |
| dsp\devtools-main\devtools-main\libs\ymltree (Files)                                                                                                                                                                             |          1 |         11 |          0 |          8 |         19 |
| dsp\devtools-main\devtools-main\libs\ymltree\include                                                                                                                                                                             |          2 |         29 |         54 |         15 |         98 |
| dsp\devtools-main\devtools-main\libs\ymltree\src                                                                                                                                                                                 |          4 |        232 |         61 |         57 |        350 |
| dsp\devtools-main\devtools-main\libs\ymltree\test                                                                                                                                                                                |          3 |        351 |         18 |         94 |        463 |
| dsp\devtools-main\devtools-main\scripts                                                                                                                                                                                          |          3 |        138 |          6 |         37 |        181 |
| dsp\devtools-main\devtools-main\test                                                                                                                                                                                             |        159 |      3,162 |      1,843 |      1,172 |      6,177 |
| dsp\devtools-main\devtools-main\test (Files)                                                                                                                                                                                     |          1 |         55 |          0 |         28 |         83 |
| dsp\devtools-main\devtools-main\test\local                                                                                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| dsp\devtools-main\devtools-main\test\local\etc                                                                                                                                                                                   |          1 |          6 |          0 |          1 |          7 |
